

BİRİM FİYAT TEKLİF CETVELİ
İhale Kayıt Numarası (İKN) :

A	B
Sıra No	İş Kalemi No	İş Kaleminin Adı ve Kısa Açıklaması	Birimi	Miktarı	Teklif Edilen Birim Fiyat	Tutarı
42	15.375.1053	40 x 40 cm anma ebatlarında, her türlü desen ve yüzey özelliğinde, ı.kalite, renkli seramik yer karoları ile 3 mm derz aralıklı döşeme kaplaması yapılması (karo yapıştırıcısı ile)	metrekare	200		
43	15.380.1055	(25 x 33 cm) veya (25 x 40 cm) anma ebatlarında, her türlü desen ve yüzey özelliğinde, ı.kalite, renkli seramik duvar karoları ile 3 mm derz aralıklı duvar kaplaması yapılması (karo yapıştırıcısı ile)	metrekare	490		
44	15.385.1028	60 x 60 cm anma ebatlarında, her türlü desen ve yüzey özelliğinde, ı.kalite, renkli, sırlı porselen karo ile 3 mm derz aralıklı döşeme kaplaması yapılması (karo yapıştırıcısı ile)	metrekare	1.020		
45	15.405.1011	Karosiman terrazo karo ile dış mekan döşeme kaplaması yapılması (Kırılma Dayanımı Şartları (Sınıf 1) Eğilme dayanımı minimum 2,8 Mpa, Aşınma direnç sınıfı (2-G), Yüzey alanı <= 1600 cm², yivli-yivsiz, her renkte)	metrekare	100		
46	15.410.1112	2 cm kalınlığında renkli mermer levha ile döşeme kaplaması yapılması (2 cm x 30-40-50 cm x serbest boy) (honlu ve cilalı hariç her türlü yüzey işlemli)	metrekare	10		
47	15.410.1314	Renkli mermer levha ile merdiven basamağı kaplaması yapılması (basamak 3 cm, rıht 2 cm kalınlığında) (honlu ve cilalı hariç her türlü yüzey işlemli)	metre	80		
48	15.410.1412	3 cm kalınlığında beyaz mermer levha ile dış denizlik yapılması (3 cm x 30-40-50 cm x serbest boy) (honlu ve cilalı hariç her türlü yüzey işlemli)	metrekare	20		
49	15.410.1512	3 cm kalınlığında beyaz mermer levha ile parapet yapılması (3 cm x 30-40-50 cm x serbest boy) (honlu ve cilalı hariç her türlü yüzey işlemli)	metrekare	10		
50	15.410.1612	3 cm kalınlığında beyaz mermer levha ile harpuşta yapılması (3 cm x 30-40-50 cm x serbest boy) (honlu ve cilalı hariç her türlü yüzey işlemli)	metrekare	4		
51	15.415.1112	2 cm kalınlığında koyu renkli traverten levha ile döşeme kaplaması yapılması (2 cm x 30-40-50 cm x serbest boy) (honlu ve cilalı hariç her türlü yüzey işlemli)	metrekare	55		
52	15.415.1214	2 cm kalınlığında koyu renkli traverten levha ile duvar kaplaması yapılması (2 cm x 30-40-50 cm x serbest boy) (honlu ve cilalı hariç her türlü yüzey işlemli)	metrekare	110		
53	15.415.1314	Koyu renkli traverten levha ile merdiven basamağı kaplaması yapılması (basamak 3 cm, rıht 2 cm kalınlığında) (honlu ve cilalı hariç her türlü yüzey işlemli)	metre	10		
54	15.420.1012	4 cm kalınlığında mucartalı andezit levha ile döşeme kaplaması yapılması (30 cm x serbest boy)	metrekare	350		
55	15.435.1213	50 x 20 x 10 cm boyutlarında normal çimentolu buhar kürlü beton bordür döşenmesi (pahlı, her renk)	metre	100		
56	15.450.1015	Her genişlikte kargir duvar üzerine mozayik kaplı beton harpuşta yapılması (normal çimentolu)	metrekare	3		
57	15.455.1001	Plastik doğrama imalatı yapılması ve yerine konulması (sert pvc doğrama profillerinden her çeşit kapı, pencere, kaplama ve benzeri imalat)	kilogram	2.000		
58	15.460.1008	Renkli-mat ve eloksallı ısı yalıtımlı alüminyum doğrama imalatı yapılması ve yerine konulması	kilogram	110		
59	15.465.1001	Gömme iç kapı kanadı kilidinin yerine takılması (geniş tip) ( Ahşap, Metal. Plastik )	adet	40		
60	15.465.1007	Silindirli traşlı dış kapı kilidinin yerine takılması ( Ahşap, Metal. Plastik )	adet	8		
61	15.465.1008	Kapı kolu ve aynalarının yerine takılması (kromajlı) ( Ahşap, Metal. Plastik )	adet	40		
62	15.465.1010	Menteşenin yerine takılması ( Ahşap, Metal. Plastik )	adet	120		
63	15.465.1118	Ayarlı menteşe (çift) plastik kaplamalının yerine takılması	adet	100		
64	15.465.1201	İspanyolet takımının yerine takılması (kol dahil) 100 cm'e kadar, 2 kavramalı ( Ahşap, Metal ve Plastik ) ( İdarenin yazılı izni ile uygulanır. )	adet	40		
65	15.465.1204	Vasistas ispanyolet takımının yerine takılması (kol, makas dahil) ( Ahşap, Metal ve Plastik ) ( İdarenin yazılı izni ile uygulanır. )	adet	10		
66	15.470.1014	Pvc ve alüminyum doğramaya profil ile 4+4 mm kalınlıkta 16 mm ara boşluklu çift camlı pencere ünitesi takılması	metrekare	80		
67	15.490.1003	Ac4 sınıf 32 laminat yer kaplaması ile döşeme kaplaması yapılması (süpürgelik dahil)	metrekare	50		
68	15.510.1104	Laminat kaplamalı, iki yüzü odun lifinden yapılmış levhalarla (mdf) presli, delikli yonga levhalarla dolgulu iç kapı kanadı yapılması, yerine takılması	metrekare	80		
69	15.525.1003	Pvc çerçeveli, plastik telden sineklik yapılması ve yerine konulması (takılır-sökülür)	metrekare	90		
70	15.540.1111	Demir yüzeylere korozyona karşı iki kat antipas boya yapılması	metrekare	150		
71	15.540.1523	Saten alçılı ve alçıpanel yüzeylere astar uygulanarak iki kat Su bazlı Silikonlu Mat İç Cephe Boyası (Örtücülük Sınıf:2, YOD:Sınıf 2, Parlaklık:G3) yapılması (iç cephe)	metrekare	3.000		
72	15.540.1605	Brüt beton, sıvalı veya eski boyalı yüzeylere, astar uygulanarak Silikon esaslı su bazlı Dış Cephe Boyası (V1:W3:G3) yapılması (dış cephe)	metrekare	1.000		
73	15.550.1001	Kare ve dikdörtgen profillerle pencere ve kapı yapılması ve yerine konulması	kilogram	550		
74	15.550.1003	2,00 mm kalınlığında sıcak haddelenmiş sacdan bükme kapı kasası yapılması ve yerine konulması	kilogram	1.000		
75	15.550.1202	Lama ve profil demirlerden çeşitli demir işleri yapılması ve yerine konulması	kilogram	500		
76	43.560.1101	Prefabrik parsel bacası beton taban elemanının yerleştirilmesi (h: 0,50 m, iç ebadı: 0,80 x 0,80 m, et kalınlığı: 0,10 m, baca elemanları arası birleşim yerleri 600 dozlu harçla)	adet	5		
77	43.560.1102	Prefabrik parsel bacası beton gövde elemanının yerleştirilmesi (h: 0,50 m, iç ebadı: 0,80 x 0,80 m, et kalınlığı: 0,10 m, baca elemanları arası birleşim yerleri 600 dozlu harçla)	adet	30		
78	43.560.1105	Çerçevesiz betonarme kapağın parsel bacası üzerine yerleştirilmesi (0,50 x 1,00 x 0,10 m, C35/45 betonu ile yapılmış)	adet	10		
79	48.550.2001	Paslanmaz Çelik Merdiven Korkuluğu ve Küpeştesi Yapılması	kilogram	200		
80	48.700.1405	Tuvalet kapılarına alüminyum bant yapılması	metretül	30		
81	77.165.1010	3 cm. RENKLİ MERMER PLAKLARLA TEZGAH ÜSTÜ KAPLAMASI YAPILMASI	metrekare	10		
82	35.100.2202	0,10 - 0,20m2'ye kadar (0,20 m2 dahil) gömme tip galvaniz sac tablolar	adet	1		
83	35.100.6101	Sac pano 800 mm. genişliğinde (TS EN 61439-1/2)	adet	1		
84	35.100.6501	Gömme tip sac tablo 0.05-0.10 m2. (0,10 m2 dahil) (ts en 61439-1/2 )	adet	2		
85	35.100.6502	Gömme tip sac tablo 0.10-0.20 m2. (0,20 m2 dahil) (ts en 61439-1/2 )	adet	2		
86	35.100.6504	Gömme tip sac tablo 0.30-0.40 m2. (0,40 m2 dahil) (ts en 61439-1/2 )	adet	3		
87	35.100.7202	Halojensiz alev geciktirici tip sıva altı tablo 6 otomatik sigortalık	adet	20		
88	35.105.1110	16 A.'e kadar anahtarlı otomatik sigorta (en az 3kA) (TS 5018-1 EN 60898-1)	adet	60		
89	35.105.1111	25 A.'e kadar anahtarlı otomatik sigorta (en az 3kA) (TS 5018-1 EN 60898-1)	adet	40		
90	35.105.1130	Üç fazlı 16 A.'e kadar anahtarlı otomatik sigorta (en az 3kA) (TS 5018-1 EN 60898-1)	adet	2		
91	35.105.1131	Üç fazlı 25 A'e kadar anahtarlı otomatik sigorta (en az 3kA) (TS 5018-1 EN 60898-1)	adet	4		
92	35.105.1210	16 A.'e kadar anahtarlı otomatik sigorta (en az 6kA)	adet	70		
93	35.105.1211	25 A.'e kadar anahtarlı otomatik sigorta (en az 6kA)	adet	80		
94	35.105.1341	Üç fazlı nötr kesmeli 25 A'e kadar anahtarlı otomatik sigorta (en az 10kA)	adet	4		
95	35.105.1342	Üç fazlı nötr kesmeli 40 A'e kadar anahtarlı otomatik sigorta (en az 10kA)	adet	4		
96	35.105.1343	Üç fazlı nötr kesmeli 63 A'e kadar anahtarlı otomatik sigorta (en az 10kA)	adet	3		
97	35.110.1502	4 x 80 A'e kadar Icu: 35 kA, I1: (0,8-1)In, 4 kutuplu, 400V AC'de en az Icu: 35 kA, termik koruma ayarlı, manyetik koruma sabit, Kompakt tip termik ve manyetik koruyuculu şalterler	adet	2		
98	35.110.1503	4 x 100 A'e kadar Icu: 35 kA, I1: (0,8-1)In, 4 kutuplu, 400V AC'de en az Icu: 35 kA, termik koruma ayarlı, manyetik koruma sabit, Kompakt tip termik ve manyetik koruyuculu şalterler	adet	1		
99	35.110.1505	4 x 160 A'e kadar Icu: 35 kA, I1: (0,8-1)In, 4 kutuplu, 400V AC'de en az Icu: 35 kA, termik koruma ayarlı, manyetik koruma sabit, Kompakt tip termik ve manyetik koruyuculu şalterler	adet	1		
100	35.110.1602	4 x 80 A'e kadar Icu: 50 kA, I1: (0,8-1)In,4 kutuplu, 400V AC'de en az Icu: 50 kA, termik koruma ayarlı, manyetik koruma sabit şalter, Kompakt tip termik ve manyetik koruyuculu şalterler	adet	1		
101	35.110.2520	En fazla 4 x 100 A, 4 kutuplu, 400 V AC'de en az Icu: 35 kA, Kompakt sabit tip termik ve manyetik koruyuculu şalter	adet	1		
102	35.115.1023	Kaçak akım koruma şalteri 4*80 a.e kadar(30ma) (Koruma Sınıfı: AC)	adet	7		
103	35.115.1063	Kaçak akım koruma şalteri 4*80 a.e kadar(300ma) (Koruma Sınıfı: AC)	adet	1		
104	35.120.1455	İşaret lambası 500 v.a kadar	adet	30		
105	35.125.1104	Kuru tip koruyucusuz kontaktör 3*40 a. (TS EN 60947-4-1)	adet	2		
106	35.125.1304	Kuru tip termik koruyuculu kontaktör 3*40 a.	adet	2		
107	35.125.1701	Elektronik motor koruma cihazı 3*12 a.	adet	2		
108	35.125.1751	Zaman rölesi 0-60 san.	adet	2		
109	35.135.3201	Üç fazlı zaman tarifeli elektronik tip aktif sayaçlar En az 5(100) A, 3x230/400 V	adet	1		
110	35.140.3225	4x16 mm2 YVV (NYY) tipi 1 KV yeraltı kabloları ile kolon ve besleme hattı tesisi	metre	100		
111	35.140.3226	4x25 mm2 YVV (NYY) tipi 1 KV yeraltı kabloları ile kolon ve besleme hattı tesisi	metre	50		
112	35.140.3229	4x70 mm2 YVV (NYY) tipi 1 KV yeraltı kabloları ile kolon ve besleme hattı tesisi	metre	125		
113	35.150.1404	1x6 mm2 kesitinde H07Z, H07Z1 tipi kablo (enaz 300/500 V)	metre	30		
114	35.150.1405	1x10 mm2 kesitinde H07Z, H07Z1 tipi kablo (enaz 300/500 V)	metre	50		
115	35.150.1562	4x4 mm2 NHXMH tipi halojensiz alev iletmeyen izoleli çok damarlı kablolar ile besleme hattı tesisi	metre	80		
116	35.150.1563	4x6 mm2 NHXMH tipi halojensiz alev iletmeyen izoleli çok damarlı kablolar ile besleme hattı tesisi	metre	60		
117	35.150.1564	4x10 mm2 NHXMH tipi halojensiz alev iletmeyen izoleli çok damarlı kablolar ile besleme hattı tesisi	metre	50		
118	35.150.3120	2x1.5re N2XHFE 180 tipi aleve dayanıklı 0,6/1kV kablolar	metre	80		
119	35.160.3201	Halogenfree kablo ile güvenlik hatlı normal sorti	adet	40		
120	35.160.3202	Halogenfree kablo ile güvenlik hatlı komutator sorti	adet	20		
121	35.160.3204	Halogenfree kablo ile güvenlik hatlı paralel sorti	adet	40		
122	35.160.3401	Halogenfree kablo ile güvenlik hatlı priz sortisi.	adet	100		
123	35.160.6504	Ø 110 mm PE kablo muhafaza koruge boru	metre	100		
124	35.170.1105	Sıva üstü, min. 60x60 ebatlarında LED li tavan armatürü (ışık akısı en az 3300 lm, armatür ışıksal verimi en az 100 lm/w olan)	adet	100		
125	35.170.1801	LED glop armatür (alüminyum gövdeli) ışık akısı en az 1800 lm, armatür ışıksal verimi en az 100 lm/w (en az IP 40 koruma derecesine sahip olan)	adet	30		
126	35.185.1811	Bakalitten 3 fazlı fiş priz ve montajı 3*25 a.	adet	4		
127	35.185.1812	Bakalitten 3 fazlı fiş priz ve montajı 3*60 a.	adet	4		
128	35.190.1704	Data prizi cat 5e veya cat 6e rj-45 (8 kontaklı) (22,5 x 45 mm)	adet	10		
129	35.415.1111	8 Bölgeye kadar (dahil) Konvansiyonel tip yangın ihbar santralı ve montajı	adet	1		
130	35.415.1400	Konvansiyonel yangın ihbar butonu ve montajı	adet	6		
131	35.415.1430	Konvansiyonel sabit sıcaklık detektörü ve montajı	adet	5		
132	35.415.1450	Konvansiyonel optik duman detektörü ve montajı	adet	35		
133	35.415.1580	Dahili tip flaşörlü elektronik yangın ihbar sireni	adet	2		
134	35.481.1160	10/24 Multiswitch Uydu Santrali	adet	1		
135	35.481.1220	En az 100 cm ofset çanak anten	adet	2		
136	35.481.1350	8 çıkışlı (octo) LNB	adet	2		
137	35.481.1510	8 way splitter (5-2400 MHz)	adet	3		
138	35.505.2030	U/UTP cat6 bakır data kablo	metre	300		
139	35.510.2000	Telefon tesisatı sortisi	adet	40		
140	35.515.1001	Jh (st) halojensiz yangın alarm kabloları 1x2x0.8+0.8 mm2	metretül	200		
141	35.750.3002	Bina ihata iletkeni 30x3,5 mm ebadında şartnamesine uygun, min 70µ çinko ile kaplanmış galvanizli çelik lama	metre	105		
142	35.750.4002	Toprak elektrodu (çubuk) elektrolitik bakır	metre	15		
143	25.100.2010	Antibakteriyel 40x50 cm Tezgah altı veya üstü oval lavabo	adet	10		
144	25.100.2012	Antibakteriyel lavabo 45x55 cm Yarım ayaklı Tk.	adet	5		
145	25.102.1601	Birinci sınıf(batarya TS EN 200 veya TS EN 817'ye uygun,sifon TS-EN 274-1-2-3)gömme tip batarylı,(lavabo üzerne monte edlir tipve pirinçtn kromajlı ara muslklrı ve bağlantı borulrı dahil)özel lastik taslı kumndsız sifonlu lavabo tesisatı	takım	15		
146	25.104.1002	Takriben 40x60 cm ayna (TS EN 1036)	adet	5		
147	25.106.2101	Antibakteriyel etajer fayans 50x10 cm ekstra sınıf (TS 13420)	adet	15		
148	25.108.2101	Antibakteriyel alaturka hela taşı takriben 50x60 cm ekstra sınıf plastik sifonlu (TS 13420)	adet	5		
149	25.110.1003	Basınçlı yıkayıcılı alaturka hela tesisatı	takım	5		
150	25.112.1270	Gömme rezervuarlı alafranga tuvalet seti	takım	15		
151	25.125.2101	Takriben 80x80x10 cm sırlı seramikten duş teknesi (TS EN 14527) (ekstra kalite)	adet	15		
152	25.126.1110	Köşe Tipi (Kare veya Dikdörtgen) Temperli Camdan Duşakabin	metrekare	10		
153	25.127.1002	Gömme baş ve el duşlu banyo takımı;el duşu ve buna su veren klapeli gömme banyo batarya takımı, banyo doldurma ağızlı (TS EN 200 veya TS EN 817)	takım	15		
154	25.130.1102	1/2 inç uzun musluk, süzgeçli rozet dahil (TS EN 200'e uygun)	adet	5		
155	25.130.1303	1/2" Kromajlı Çamaşır - Bulaşık Musluğu, seramik salmastralı, musluk rozeti dahil. (TS EN 200'e uygun)	adet	10		
156	25.135.2002	Paslanmaz çelik kağıtlık	adet	10		
157	25.135.3001	Askı fayans 10x16cm	adet	10		
158	25.138.1022	Plastikten 15x15 cm Ø50 çıkışlı yer süzgecinin işyerinde temini ve yerine montajı (TS-327'ye uygun)	adet	15		
159	25.142.1104	Soğuk su sayacı ø 50 mm. flanşlı (TS EN ISO 4064-1’e uygun)	adet	5		
160	25.150.1209	15,00 m3 prizmatik modüler paslanmaz çelik su deposu	adet	2		
161	25.160.1203	İki pompalı düşey milli santrifüj pompalı tam otomatik paket hidrofor (debi: 10- 30 m³/h, basınç: 30-60 mss)	adet	2		
162	25.165.3001	Tam otomatik su yumuşatma cihazı 1 m3/sa	adet	2		
163	25.170.1105	Soğuk ve sıcak su kollektör borusu 6" 150Ø mm.	metre	4		
164	25.170.1211	Termometre,hidrometre ve boşaltma ağızları	adet	6		
165	25.175.1414	3000 lt–Minimum sıcak su debisi 3330 lt/h ( 58,0 kPa) tek serpantinli dik boyler (TS EN13445-3, TS EN 12897,TS736)	adet	2		
166	25.214.1009	100 KW - 114,9 KW arası duvara asılabilen gaz yakıtlı yoğuşmalı kazanlar doğalgaz veya lpg yakıtlı	adet	8		
167	25.218.1103	750 KW ' a kadar Nötralizasyon Ünitesi	adet	2		
168	25.225.3025	Panel radyatör (tip 22) 600	metre	60		
169	25.230.1201	Köşe tip radyatör musluğu ø15 mm (1/2") (TS 579)	adet	50		
170	25.230.1401	Köşe tip termostatlı radyatör muslukları ø15 mm (1/2") (TS EN 215)	adet	50		
171	25.245.1102	Kollektör borusu ø 83/3.25 mm. dikişli boru	metre	12		
172	25.245.1103	Kollektör borusu ø 108/3.71 mm.dikişli boru	metre	15		
173	25.245.2002	Kollektör ağzı ø 20 mm	adet	6		
174	25.245.2005	Kollektör ağzı ø 40 mm	adet	8		
175	25.245.2006	Kollektör ağzı ø 50 mm	adet	32		
176	25.245.2008	Kollektör ağzı ø 80 mm	adet	6		
177	25.245.3103	4 çıkışlı vanalı 1"kollektör	adet	6		
178	25.245.3104	5 çıkışlı vanalı 1"kollektör	adet	8		
179	25.245.3106	7 çıkışlı vanalı 1"kollektör	adet	3		
180	25.245.3109	10 çıkışlı vanalı 1"kollektör	adet	3		
181	25.250.2101	Termometre, madeni, ø 100 mm 120 °C	adet	10		
182	25.250.2102	Termometre, madeni, ø 100 mm 250 °C	adet	3		
183	25.250.2301	Manometre ø 100 mm 1 atmosfer kadar bölüntülü	adet	6		
184	25.250.2304	Manometre ø 100 mm 10 atmosfer kadar bölüntülü	adet	13		
185	25.255.1301	Silindirik havalandırma deposu 5 lt. (İzole hariç)	adet	8		
186	25.255.3009	500 lt.'lik çelikten kapalı, diyaframlı genleşme deposu: 10 atm.	adet	2		
187	25.260.1205	15 m3/h, Ø219 , dn80 flanşlı denge tankı	adet	2		
188	25.288.5111	Ø400 tek cidarlı paslanmaz çelik baca	metre	30		
189	25.300.1101/A	Dikişli vidalı çelik boru 1/2" 15 mm, dış cap 21,3/2,60 manşonsuz ağırlık 1,22 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	8		
190	25.300.1102/A	Dikişli vidalı çelik boru 3/4" 20 mm, dış cap 26,9/2,60 manşonsuz ağırlık 1,57 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	8		
191	25.300.1103/A	Dikişli vidalı çelik boru 1" 25 mm, dış cap 33,7/3,20 manşonsuz ağırlık 2,43 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	60		
192	25.300.1104/A	Dikişli vidalı çelik boru 1 1/4" 32 mm, dış cap 42,4/3,20 manşonsuz ağırlık 3,13 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	35		
193	25.300.1105/A	Dikişli vidalı çelik boru 1 1/2" 40 mm, dış cap 48,3/3,20 manşonsuz ağırlık 3,60 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	55		
194	25.300.1106/A	Dikişli vidalı çelik boru 2" 50 mm, dış cap 60,3/3,60 manşonsuz ağırlık 5,10 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	60		
195	25.300.1107/A	Dikişli vidalı çelik boru 2 1/2" 65 mm, dış cap 76,1/3,60 manşonsuz ağırlık 6,54 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	3		
196	25.300.1108/A	Dikişli vidalı çelik boru 3" 80 mm, dış cap 88,9/4,00 manşonsuz ağırlık 8,53 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	25		
197	25.300.1109/A	Dikişli vidalı çelik boru 4" 100 mm, dış cap 114,3/4,50 manşonsuz ağırlık 12,50 kg/m (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	35		
198	25.300.1405/A	Dikişli galvanizli çelik boru 1 1/2" ø40 ortalama dış çap 48,3/3,25 mm (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	25		
199	25.300.1406/A	Dikişli galvanizli çelik boru 2" ø50 ortalama dış çap 60,3/3,65 mm (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	80		
200	25.300.1407/A	Dikişli galvanizli çelik boru 2 1/2" ø65 ortalama dış çap 76,1/3,65 mm (bina içinde vidalı döşenmiş boru montaj malzemesi bedeli dahil)	metre	25		
201	25.300.1410/B	Dikişli galvanizli çelik boru 5" ø125 ortalama dış çap 139,7/5,0 mm (bina içinde kaynaklı döşenmiş boru montaj malzemesi bedeli dahil)	metre	12		
202	25.300.1603/B	Çelik boru dış çap 33,4/3,4 mm (bina içinde kaynaklı döşenmiş boru montaj malzemesi bedeli dahil)	metre	55		
203	25.300.1604/B	Çelik boru dış çap 42,2/3,6 mm (bina içinde kaynaklı döşenmiş boru montaj malzemesi bedeli dahil)	metre	50		
204	25.300.1605/B	Çelik boru dış çap 48,3/3,7 mm (bina içinde kaynaklı döşenmiş boru montaj malzemesi bedeli dahil)	metre	50		
